field_id	message_type_id	tag	field_name	is_mandatory	content_options	sequence	created_at	updated_at
1	1	27	Sequence of Total	1	1/1	1	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
2	1	40A	Form of Documentary Credit	1	IRREVOCABLE, IRREVOCABLE TRANSFERABLE	2	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
3	1	20	Documentary Credit Number	1	16x	3	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
4	1	23	Reference to Pre-Advice	0	16x	4	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
5	1	31C	Date of Issue	1	6!n	5	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
6	1	40E	Applicable Rules	1	30x[/35x]	6	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
7	1	31D	Date and Place of Expiry	1	6!n29x	7	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
8	1	51A	Applicant Bank	0	[/1!a][/34x]4!a2!a2!c[3!c]	8	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
9	1	50	Applicant	1	4*35x	9	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
10	1	59	Beneficiary	1	[/34x]4*35x	10	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
11	1	32B	Currency Code, Amount	1	3!a15d	11	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
12	1	39A	Percentage Credit Amount Tolerance	0	2n/2n	12	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
13	1	39B	Maximum Credit Amount	0	4*35x	13	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
14	1	39C	Additional Amounts Covered	0	4*35x	14	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
15	1	41A	Available With ... By ...	1	[/1!a][/34x]4!a2!a2!c[3!c]4*35x	15	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
16	1	41D	Available With ... By ...	0	4*35x	16	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
17	1	42C	Drafts at ...	0	3*35x	17	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
18	1	42A	Drawee	0	[/1!a][/34x]4!a2!a2!c[3!c]	18	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
19	1	42D	Drawee	0	4*35x	19	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
20	1	42M	Mixed Payment Details	0	4*35x	20	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
21	1	42P	Deferred Payment Details	0	4*35x	21	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
22	1	43P	Partial Shipments	0	11x	22	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
23	1	43T	Transhipment	0	11x	23	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
24	1	44A	Place of Taking in Charge/Dispatch From .../Place of Receipt	0	65x	24	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
